als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
66.1,0,26.0,5.5,-47.2,-75.1,1021.023,21.4,-0.0,0.1,1.0,66,183,84,5,183
66.1,0,26.0,5.9,-47.8,-74.5,1021.023,21.4,-0.0,0.1,0.9,66,183,84,5,183
65.9,0,26.0,6.0,-48.4,-73.8,1021.023,21.4,-0.0,0.2,0.9,66,183,84,5,183
65.9,0,25.4,6.1,-48.8,-73.7,1021.023,21.4,-0.0,0.1,1.1,69,188,87,5,183
65.9,0,26.0,5.8,-47.2,-74.8,1021.023,21.4,-0.0,0.1,1.1,69,188,87,5,190
75.8,0,26.0,5.3,-44.5,-77.0,1021.023,21.4,-0.0,0.1,1.0,69,188,87,5,190
75.8,0,26.0,5.1,-44.0,-77.5,1020.975,21.4,-0.0,0.1,1.0,59,171,76,5,190
75.8,0,26.0,5.1,-45.2,-76.6,1020.975,21.4,-0.0,0.1,1.0,59,171,76,5,190
33.1,0,26.0,5.6,-46.5,-75.5,1020.975,21.4,-0.0,0.1,1.0,59,171,76,5,171
33.1,0,26.0,5.8,-47.3,-75.2,1020.975,21.4,-0.0,0.1,1.0,59,171,76,5,171
61.1,0,26.6,5.1,-45.2,-76.5,1020.975,21.4,-0.0,0.1,1.0,68,187,85,5,171
61.1,0,26.0,5.0,-43.9,-77.3,1020.975,21.4,-0.0,0.1,1.0,68,187,85,5,179
61.1,0,25.4,4.7,-44.3,-77.3,1020.995,21.4,-0.0,0.1,1.1,68,187,85,5,179
33.1,0,26.0,5.0,-45.0,-77.0,1020.995,21.4,-0.0,0.1,1.0,68,187,85,5,179
33.1,0,26.0,5.4,-45.8,-76.3,1020.995,21.4,-0.0,0.1,1.0,61,173,78,5,179
33.1,0,26.0,5.3,-45.5,-76.4,1020.995,21.4,-0.0,0.1,1.0,61,173,78,5,177
44.6,0,25.4,5.4,-45.0,-76.8,1020.995,21.4,-0.0,0.1,1.0,61,173,78,5,177
44.6,0,26.0,5.0,-45.3,-76.9,1020.995,21.4,-0.0,0.1,1.0,63,177,80,5,177
44.6,0,26.0,5.1,-46.2,-76.0,1020.995,21.4,-0.0,0.1,1.0,63,177,80,5,179
44.6,0,26.0,5.3,-46.7,-75.8,1020.995,21.4,-0.0,0.1,1.0,63,177,80,5,179
44.6,0,26.0,5.5,-46.1,-76.1,1020.995,21.4,-0.0,0.1,1.0,63,177,80,5,179
44.6,0,25.4,5.5,-45.4,-76.4,1020.995,21.4,-0.0,0.1,1.0,66,182,83,5,179
56.2,0,26.0,5.0,-44.8,-76.9,1020.995,21.4,-0.0,0.1,1.1,66,182,83,5,179
56.2,0,26.0,5.3,-45.0,-76.8,1020.995,21.4,-0.0,0.1,1.0,66,182,83,5,179
44.6,0,26.0,5.2,-46.4,-75.9,1020.995,21.4,-0.0,0.1,1.0,64,180,82,5,179
44.6,0,26.0,5.5,-47.4,-75.2,1020.974,21.4,-0.0,0.1,1.0,64,180,82,5,179
44.6,0,26.0,5.4,-46.5,-75.5,1020.974,21.4,-0.0,0.1,1.0,64,180,82,5,188
69.5,0,26.0,5.7,-45.4,-76.3,1020.974,21.4,-0.0,0.1,1.0,64,180,82,5,188
69.5,0,26.0,5.4,-44.6,-77.2,1020.974,21.4,-0.0,0.1,1.1,64,180,81,5,188
69.5,0,26.0,5.3,-45.8,-76.2,1020.974,21.4,-0.0,0.1,1.0,64,180,81,5,188
47.8,0,26.0,5.9,-47.7,-75.0,1020.974,21.4,-0.0,0.1,1.0,64,180,81,5,179
47.8,0,26.0,5.3,-47.5,-75.2,1020.974,21.4,-0.0,0.1,1.0,64,180,81,5,179
47.8,0,25.4,5.5,-46.5,-75.7,1021.009,21.4,-0.0,0.1,1.0,71,191,88,5,179
74.3,0,26.0,5.6,-45.9,-76.2,1021.009,21.4,-0.0,0.1,1.0,71,191,88,5,187
74.3,0,26.0,5.1,-46.0,-76.2,1021.009,21.4,-0.0,0.1,1.0,71,191,88,5,187
74.3,0,26.0,5.6,-47.3,-75.4,1021.009,21.4,-0.0,0.2,1.0,71,191,88,5,187
61.1,0,26.0,5.5,-47.4,-75.0,1021.009,21.4,-0.0,0.2,1.0,68,186,84,5,187
